Jul 05, 2019  10:32:10 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,   5.90E-011, 
  1.10,   1.37E-010, 
  1.20,   9.60E-009, 
  1.30,   8.11E-008, 
  1.40,   4.83E-008, 
  1.50,   3.22E-008, 
  1.60,   6.20E-008, 
  1.70,   1.01E-007, 
  1.80,   1.35E-007, 
  1.90,   1.69E-007, 
  2.00,   1.92E-007, 
  2.10,   1.85E-007, 
  2.20,   1.76E-007, 
  2.30,   1.31E-007, 
  2.40,   4.80E-008, 
  2.50,   1.63E-008, 
  2.60,   7.81E-009, 
  2.70,   4.56E-009, 
  2.80,   3.05E-009, 
  2.90,   2.02E-009, 
  3.00,   1.47E-009, 
  3.10,   1.25E-009, 
  3.20,   9.31E-010, 
  3.30,   6.98E-010, 
  3.40,   5.89E-010, 
  3.50,   2.86E-010, 
  3.60,   1.52E-010, 
  3.70,   2.10E-010, 
  3.80,   1.08E-011, 
  3.90,  -1.08E-011, 
  4.00,   8.07E-011, 
  4.10,   8.80E-011, 
  4.20,   2.05E-011, 
  4.30,   8.31E-011, 
  4.40,  -1.11E-010, 
  4.50,  -2.29E-010, 
  4.60,  -2.24E-010, 
  4.70,  -2.35E-010, 
  4.80,  -2.71E-010, 
  4.90,  -1.11E-010, 
  5.00,  -2.80E-010, 
  5.10,  -3.31E-010, 
  5.20,  -2.63E-010, 
  5.30,  -4.34E-010, 
  5.40,  -4.59E-010, 
  5.50,  -4.04E-010, 
  5.60,  -5.66E-010, 
  5.70,  -4.24E-010, 
  5.80,  -1.72E-010, 
  5.90,  -2.42E-010, 
  6.00,  -2.69E-010, 
  6.10,  -1.54E-010, 
  6.20,  -1.47E-010, 
  6.30,  -2.71E-010, 
  6.40,  -1.13E-010, 
  6.50,  -3.22E-010, 
