Jul 19, 2019  11:23:47 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 19, 2019  11:23:47 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   2.3206E-007,   5.1554E-009,   1.1576E-007,   2.6707E-007,   8.1597E-006,   1.7787E-006,   7.8743E-007,   3.6892E-009,   5.1977E-008,   6.1355E-008,  
9.984,   2.2847E-007,   5.3422E-009,   1.1383E-007,   2.6865E-007,   8.1648E-006,   1.7822E-006,   7.7928E-007,   3.9470E-009,   5.1204E-008,   6.0736E-008,  
19.984,   2.2760E-007,   5.3181E-009,   1.1450E-007,   2.6629E-007,   8.0939E-006,   1.7714E-006,   7.7405E-007,   3.7145E-009,   5.1089E-008,   6.0784E-008,  
29.984,   2.2792E-007,   5.2072E-009,   1.1360E-007,   2.6737E-007,   8.0955E-006,   1.7794E-006,   7.6912E-007,   3.9349E-009,   5.0961E-008,   6.0971E-008,  
39.984,   2.2416E-007,   5.0301E-009,   1.1340E-007,   2.6470E-007,   8.0942E-006,   1.7821E-006,   7.6991E-007,   3.9554E-009,   5.0648E-008,   6.0866E-008,  
49.984,   2.2410E-007,   5.2952E-009,   1.1406E-007,   2.6486E-007,   8.0174E-006,   1.7883E-006,   7.6538E-007,   3.9373E-009,   5.0831E-008,   6.0187E-008,  
59.984,   2.2342E-007,   5.0554E-009,   1.1349E-007,   2.6431E-007,   7.9744E-006,   1.7805E-006,   7.6482E-007,   3.9892E-009,   5.0698E-008,   6.1006E-008,  
69.984,   2.2302E-007,   5.0386E-009,   1.1387E-007,   2.6317E-007,   7.9811E-006,   1.7807E-006,   7.6285E-007,   4.2651E-009,   5.0371E-008,   6.0702E-008,  
79.984,   2.2047E-007,   5.3747E-009,   1.1394E-007,   2.6241E-007,   7.9573E-006,   1.7806E-006,   7.5597E-007,   3.8807E-009,   5.0476E-008,   6.0099E-008,  
89.984,   2.2042E-007,   5.5940E-009,   1.1359E-007,   2.6086E-007,   7.9558E-006,   1.7937E-006,   7.5989E-007,   3.8627E-009,   5.0320E-008,   6.0034E-008,  
99.984,   2.1858E-007,   5.2048E-009,   1.1378E-007,   2.6123E-007,   7.9180E-006,   1.7867E-006,   7.5215E-007,   3.8518E-009,   5.0055E-008,   6.0255E-008,  
109.984,   2.1598E-007,   5.1482E-009,   1.1314E-007,   2.6141E-007,   7.8142E-006,   1.7924E-006,   7.5705E-007,   3.8904E-009,   4.9917E-008,   6.0101E-008,  
119.984,   2.1639E-007,   4.9627E-009,   1.1273E-007,   2.6182E-007,   7.8173E-006,   1.7885E-006,   7.5524E-007,   3.7928E-009,   5.0352E-008,   5.9553E-008,  
129.984,   2.1573E-007,   5.2602E-009,   1.1344E-007,   2.6122E-007,   7.8622E-006,   1.7827E-006,   7.5064E-007,   3.9434E-009,   5.0093E-008,   5.9549E-008,  
140.000,   2.1646E-007,   5.0614E-009,   1.1315E-007,   2.6190E-007,   7.8607E-006,   1.7892E-006,   7.5147E-007,   3.8265E-009,   4.9824E-008,   5.9241E-008,  
149.984,   2.1672E-007,   5.4361E-009,   1.1303E-007,   2.5878E-007,   7.8423E-006,   1.7887E-006,   7.4803E-007,   4.2337E-009,   4.9861E-008,   6.0069E-008,  
159.984,   2.1445E-007,   5.2566E-009,   1.1273E-007,   2.5833E-007,   7.7925E-006,   1.7806E-006,   7.4598E-007,   3.8578E-009,   4.9720E-008,   5.9705E-008,  
169.984,   2.1422E-007,   5.2265E-009,   1.1294E-007,   2.5924E-007,   7.7600E-006,   1.8006E-006,   7.5040E-007,   3.6855E-009,   4.9981E-008,   5.9508E-008,  
179.984,   2.1315E-007,   5.3217E-009,   1.1252E-007,   2.5885E-007,   7.7927E-006,   1.7870E-006,   7.4277E-007,   3.8410E-009,   4.9812E-008,   5.9942E-008,  
189.984,   2.1163E-007,   5.3241E-009,   1.1245E-007,   2.5761E-007,   7.7898E-006,   1.7830E-006,   7.4200E-007,   3.9880E-009,   4.9813E-008,   5.9789E-008,  
199.984,   2.1209E-007,   5.3434E-009,   1.1364E-007,   2.5783E-007,   7.7187E-006,   1.7955E-006,   7.4685E-007,   3.8651E-009,   4.9937E-008,   5.8849E-008,  
209.984,   2.1134E-007,   5.3325E-009,   1.1275E-007,   2.5857E-007,   7.6948E-006,   1.7940E-006,   7.4102E-007,   3.9301E-009,   5.1594E-008,   5.9575E-008,  
219.984,   2.1049E-007,   5.2157E-009,   1.1269E-007,   2.5657E-007,   7.7030E-006,   1.7783E-006,   7.4884E-007,   4.0108E-009,   5.0281E-008,   5.8965E-008,  
229.984,   2.1043E-007,   5.4831E-009,   1.1282E-007,   2.5677E-007,   7.7045E-006,   1.7815E-006,   7.4317E-007,   3.9627E-009,   4.9770E-008,   5.8796E-008,  
239.984,   2.0929E-007,   5.4096E-009,   1.1274E-007,   2.5628E-007,   7.6385E-006,   1.8040E-006,   7.4414E-007,   3.9735E-009,   5.0360E-008,   5.9714E-008,  
249.984,   2.0943E-007,   5.1723E-009,   1.1362E-007,   2.5667E-007,   7.6151E-006,   1.7937E-006,   7.4310E-007,   3.9386E-009,   4.9530E-008,   5.8619E-008,  
259.984,   2.0989E-007,   5.0530E-009,   1.1256E-007,   2.5610E-007,   7.6462E-006,   1.7881E-006,   7.3802E-007,   3.7916E-009,   5.0240E-008,   5.9125E-008,  
270.000,   2.0762E-007,   5.1398E-009,   1.1243E-007,   2.5372E-007,   7.6053E-006,   1.7971E-006,   7.3865E-007,   3.8157E-009,   5.0034E-008,   5.9070E-008,  
279.984,   2.0794E-007,   5.3398E-009,   1.1290E-007,   2.5420E-007,   7.6443E-006,   1.7970E-006,   7.3749E-007,   3.8735E-009,   4.9445E-008,   5.9230E-008,  
289.984,   2.0563E-007,   4.9687E-009,   1.1413E-007,   2.5747E-007,   7.5829E-006,   1.7980E-006,   7.3898E-007,   3.7940E-009,   4.9875E-008,   5.7843E-008,  
299.984,   2.0648E-007,   5.1422E-009,   1.1650E-007,   2.5574E-007,   7.5721E-006,   1.8173E-006,   7.4593E-007,   4.0000E-009,   4.9895E-008,   5.8999E-008,  
309.984,   2.0701E-007,   5.3361E-009,   1.1193E-007,   2.5563E-007,   7.6164E-006,   1.7914E-006,   7.4377E-007,   3.8988E-009,   4.9895E-008,   5.8635E-008,  
319.984,   2.0385E-007,   5.2157E-009,   1.1219E-007,   2.5303E-007,   7.5883E-006,   1.7896E-006,   7.3494E-007,   3.8747E-009,   4.9507E-008,   5.8108E-008,  
329.984,   2.0478E-007,   5.0410E-009,   1.1232E-007,   2.5143E-007,   7.5301E-006,   1.7772E-006,   7.3575E-007,   3.8506E-009,   4.9718E-008,   5.7967E-008,  
339.984,   2.0325E-007,   4.9325E-009,   1.1284E-007,   2.5315E-007,   7.5164E-006,   1.7946E-006,   7.3812E-007,   3.6157E-009,   4.9623E-008,   5.7793E-008,  
349.984,   2.0259E-007,   4.8819E-009,   1.1239E-007,   2.5230E-007,   7.5245E-006,   1.7903E-006,   7.3460E-007,   3.8892E-009,   4.9792E-008,   5.8281E-008,  
359.984,   2.0217E-007,   5.1060E-009,   1.1296E-007,   2.5106E-007,   7.4748E-006,   1.7961E-006,   7.3331E-007,   4.0735E-009,   4.9916E-008,   5.8713E-008,  
369.984,   2.0221E-007,   5.3193E-009,   1.1255E-007,   2.5031E-007,   7.4653E-006,   1.7870E-006,   7.3662E-007,   3.8855E-009,   4.9772E-008,   5.7734E-008,  
379.984,   2.0231E-007,   4.9651E-009,   1.1240E-007,   2.5060E-007,   7.4603E-006,   1.8019E-006,   7.3352E-007,   4.0120E-009,   4.9707E-008,   5.7676E-008,  
389.984,   2.0286E-007,   4.8494E-009,   1.1230E-007,   2.4967E-007,   7.4428E-006,   1.7911E-006,   7.3518E-007,   3.8952E-009,   4.8866E-008,   5.8458E-008,  
399.984,   2.0030E-007,   4.7277E-009,   1.1170E-007,   2.5162E-007,   7.4539E-006,   1.7996E-006,   7.3675E-007,   3.8843E-009,   4.9816E-008,   5.7352E-008,  
409.984,   2.0123E-007,   5.1976E-009,   1.1178E-007,   2.5140E-007,   7.4177E-006,   1.7860E-006,   7.3163E-007,   3.9157E-009,   4.9387E-008,   5.7775E-008,  
419.984,   1.9988E-007,   5.0157E-009,   1.1122E-007,   2.4910E-007,   7.3688E-006,   1.7988E-006,   7.3299E-007,   3.9819E-009,   4.8996E-008,   5.7273E-008,  
429.984,   1.9765E-007,   5.0253E-009,   1.1184E-007,   2.4890E-007,   7.3481E-006,   1.7920E-006,   7.3192E-007,   3.9060E-009,   4.9293E-008,   5.7130E-008,  
440.000,   1.9830E-007,   4.9735E-009,   1.1110E-007,   2.4855E-007,   7.3608E-006,   1.7896E-006,   7.3361E-007,   3.8494E-009,   4.9395E-008,   5.7951E-008,  
449.984,   1.9517E-007,   5.0904E-009,   1.1218E-007,   2.4738E-007,   7.3684E-006,   1.7865E-006,   7.3352E-007,   3.8048E-009,   4.8902E-008,   5.6863E-008,  
459.984,   1.9853E-007,   5.0627E-009,   1.1117E-007,   2.4809E-007,   7.3192E-006,   1.7784E-006,   7.3237E-007,   3.7675E-009,   4.9771E-008,   5.7173E-008,  
469.984,   1.9819E-007,   4.8458E-009,   1.1233E-007,   2.4933E-007,   7.3055E-006,   1.8007E-006,   7.2960E-007,   3.7639E-009,   4.9125E-008,   5.6790E-008,  
479.984,   1.9872E-007,   5.0711E-009,   1.1205E-007,   2.4802E-007,   7.2927E-006,   1.7864E-006,   7.3291E-007,   4.0301E-009,   4.9782E-008,   5.7559E-008,  
490.000,   1.9669E-007,   5.1349E-009,   1.1160E-007,   2.4803E-007,   7.2926E-006,   1.7830E-006,   7.3367E-007,   3.7735E-009,   4.9401E-008,   5.6696E-008,  
499.984,   1.9626E-007,   5.0229E-009,   1.1198E-007,   2.4770E-007,   7.2366E-006,   1.7849E-006,   7.3191E-007,   3.8422E-009,   4.9573E-008,   5.6654E-008,  
509.984,   1.9564E-007,   4.9711E-009,   1.1163E-007,   2.4663E-007,   7.2456E-006,   1.7667E-006,   7.3153E-007,   3.7602E-009,   4.9540E-008,   5.6246E-008,  
519.984,   1.9584E-007,   4.8193E-009,   1.1229E-007,   2.4501E-007,   7.1950E-006,   1.7854E-006,   7.2707E-007,   4.0506E-009,   4.8992E-008,   5.6393E-008,  
529.984,   1.9335E-007,   5.0988E-009,   1.1232E-007,   2.4449E-007,   7.2497E-006,   1.7876E-006,   7.3280E-007,   4.0313E-009,   4.9277E-008,   5.6414E-008,  
539.984,   1.9459E-007,   5.0361E-009,   1.1209E-007,   2.4635E-007,   7.2580E-006,   1.7942E-006,   7.3011E-007,   3.9036E-009,   4.9884E-008,   5.6364E-008,  
549.984,   1.9456E-007,   5.1687E-009,   1.1166E-007,   2.4486E-007,   7.2204E-006,   1.7856E-006,   7.2611E-007,   3.8988E-009,   4.9545E-008,   5.6177E-008,  
559.984,   1.9344E-007,   4.7976E-009,   1.1265E-007,   2.4412E-007,   7.1853E-006,   1.7844E-006,   7.2781E-007,   3.8096E-009,   4.8924E-008,   5.5998E-008,  
569.984,   1.9527E-007,   5.1795E-009,   1.1138E-007,   2.4481E-007,   7.1957E-006,   1.7866E-006,   7.3051E-007,   3.8940E-009,   4.9445E-008,   5.6506E-008,  
580.000,   1.9198E-007,   4.9205E-009,   1.1172E-007,   2.4511E-007,   7.2067E-006,   1.7974E-006,   7.3418E-007,   3.9699E-009,   4.9143E-008,   5.5966E-008,  
589.984,   1.9151E-007,   4.9518E-009,   1.1127E-007,   2.4321E-007,   7.1558E-006,   1.7929E-006,   7.2797E-007,   3.8614E-009,   4.9023E-008,   5.5996E-008,  
599.984,   1.9064E-007,   5.1325E-009,   1.1288E-007,   2.4614E-007,   7.1665E-006,   1.7857E-006,   7.3270E-007,   3.9735E-009,   4.9293E-008,   5.5942E-008,  
609.984,   1.8948E-007,   4.9193E-009,   1.1203E-007,   2.4511E-007,   7.1849E-006,   1.7863E-006,   7.3044E-007,   4.0831E-009,   4.9259E-008,   5.5469E-008,  
619.984,   1.9058E-007,   5.1578E-009,   1.1239E-007,   2.4438E-007,   7.1115E-006,   1.7960E-006,   7.3218E-007,   3.7916E-009,   4.9319E-008,   5.5706E-008,  
629.984,   1.9085E-007,   4.9916E-009,   1.1252E-007,   2.4248E-007,   7.1080E-006,   1.7984E-006,   7.2590E-007,   3.9843E-009,   4.8819E-008,   5.5631E-008,  
639.984,   1.9131E-007,   4.8831E-009,   1.1144E-007,   2.4316E-007,   7.0767E-006,   1.8021E-006,   7.3011E-007,   3.7458E-009,   4.8910E-008,   5.5208E-008,  
649.984,   1.9004E-007,   4.9554E-009,   1.1229E-007,   2.4204E-007,   7.0921E-006,   1.7935E-006,   7.2701E-007,   3.8904E-009,   4.8925E-008,   5.5088E-008,  
659.984,   1.9080E-007,   4.8265E-009,   1.1168E-007,   2.4181E-007,   7.0630E-006,   1.7833E-006,   7.2756E-007,   3.9506E-009,   4.9206E-008,   5.5235E-008,  
669.984,   1.8867E-007,   5.0325E-009,   1.1093E-007,   2.4155E-007,   7.0679E-006,   1.7889E-006,   7.2823E-007,   3.7386E-009,   4.8466E-008,   5.5389E-008,  
679.984,   1.8868E-007,   4.8988E-009,   1.1264E-007,   2.4323E-007,   7.0309E-006,   1.7911E-006,   7.2263E-007,   3.9133E-009,   4.8843E-008,   5.5422E-008,  
689.984,   1.8911E-007,   4.6012E-009,   1.1227E-007,   2.4114E-007,   7.0480E-006,   1.7906E-006,   7.2719E-007,   3.6723E-009,   4.9242E-008,   5.4786E-008,  
699.984,   1.8808E-007,   4.9759E-009,   1.1184E-007,   2.4057E-007,   7.0398E-006,   1.7903E-006,   7.2602E-007,   3.7229E-009,   4.8895E-008,   5.5016E-008,  
709.984,   1.8815E-007,   4.7554E-009,   1.1213E-007,   2.4233E-007,   7.0027E-006,   1.7852E-006,   7.2542E-007,   3.8554E-009,   4.9134E-008,   5.4528E-008,  
719.984,   1.8746E-007,   4.7470E-009,   1.1199E-007,   2.4017E-007,   7.0143E-006,   1.7896E-006,   7.2273E-007,   3.8096E-009,   4.8955E-008,   5.4649E-008,  
729.984,   1.8512E-007,   4.8000E-009,   1.1269E-007,   2.4034E-007,   6.9834E-006,   1.7941E-006,   7.2174E-007,   3.6217E-009,   4.8641E-008,   5.4408E-008,  
740.000,   1.8691E-007,   4.7410E-009,   1.1144E-007,   2.3742E-007,   7.0125E-006,   1.7826E-006,   7.2307E-007,   4.0133E-009,   4.8864E-008,   5.4116E-008,  
749.984,   1.8618E-007,   4.8301E-009,   1.1178E-007,   2.3779E-007,   6.9879E-006,   1.7976E-006,   7.2667E-007,   3.7337E-009,   4.8669E-008,   5.3794E-008,  
759.984,   1.8523E-007,   4.9024E-009,   1.1141E-007,   2.3899E-007,   6.9576E-006,   1.7804E-006,   7.2393E-007,   4.3325E-009,   4.9042E-008,   5.4243E-008,  
769.984,   1.8578E-007,   4.8988E-009,   1.1228E-007,   2.3896E-007,   6.9370E-006,   1.7867E-006,   7.2555E-007,   3.8000E-009,   4.9141E-008,   5.4458E-008,  
779.984,   1.8395E-007,   4.9277E-009,   1.1147E-007,   2.3793E-007,   6.9001E-006,   1.7881E-006,   7.2507E-007,   3.7205E-009,   4.9341E-008,   5.3933E-008,  
789.984,   1.8355E-007,   4.4759E-009,   1.1216E-007,   2.3885E-007,   6.9415E-006,   1.7845E-006,   7.2146E-007,   3.8723E-009,   4.8272E-008,   5.3177E-008,  
799.984,   1.8468E-007,   4.7723E-009,   1.1138E-007,   2.3589E-007,   6.8960E-006,   1.7799E-006,   7.2334E-007,   3.9241E-009,   4.9034E-008,   5.4151E-008,  
809.984,   1.8659E-007,   4.7024E-009,   1.1214E-007,   2.3719E-007,   6.8745E-006,   1.7923E-006,   7.2308E-007,   3.9217E-009,   4.9125E-008,   5.3831E-008,  
819.984,   1.8196E-007,   4.8735E-009,   1.1245E-007,   2.3750E-007,   6.8860E-006,   1.7928E-006,   7.2552E-007,   3.8289E-009,   4.9063E-008,   5.3367E-008,  
830.000,   1.8450E-007,   4.6024E-009,   1.1180E-007,   2.3848E-007,   6.8950E-006,   1.7872E-006,   7.2556E-007,   3.9651E-009,   4.9036E-008,   5.3500E-008,  
840.000,   1.8218E-007,   4.5663E-009,   1.1124E-007,   2.3459E-007,   6.8831E-006,   1.7900E-006,   7.2487E-007,   3.7518E-009,   4.8812E-008,   5.3194E-008,  
