Jul 20, 2019  10:15:57 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -3.34E-010, 
  1.10,  -4.24E-010, 
  1.20,   3.91E-009, 
  1.30,   3.40E-008, 
  1.40,   2.34E-008, 
  1.50,   1.24E-008, 
  1.60,   1.54E-008, 
  1.70,   2.36E-008, 
  1.80,   3.49E-008, 
  1.90,   4.63E-008, 
  2.00,   4.99E-008, 
  2.10,   5.05E-008, 
  2.20,   4.57E-008, 
  2.30,   3.48E-008, 
  2.40,   1.74E-008, 
  2.50,   7.78E-009, 
  2.60,   4.10E-009, 
  2.70,   2.31E-009, 
  2.80,   1.46E-009, 
  2.90,   8.48E-010, 
  3.00,   4.94E-010, 
  3.10,   3.17E-010, 
  3.20,   1.52E-010, 
  3.30,  -5.18E-011, 
  3.40,  -1.33E-011, 
  3.50,  -2.14E-010, 
  3.60,  -2.43E-010, 
  3.70,  -2.73E-010, 
  3.80,  -3.35E-010, 
  3.90,  -2.51E-010, 
  4.00,  -3.16E-010, 
  4.10,  -3.08E-010, 
  4.20,  -2.86E-010, 
  4.30,  -1.87E-010, 
  4.40,  -1.77E-010, 
  4.50,  -3.53E-010, 
  4.60,  -2.49E-010, 
  4.70,  -2.23E-010, 
  4.80,  -2.51E-010, 
  4.90,  -1.78E-010, 
  5.00,  -3.47E-010, 
  5.10,  -4.13E-010, 
  5.20,  -4.18E-010, 
  5.30,  -5.00E-010, 
  5.40,  -5.27E-010, 
  5.50,  -4.07E-010, 
  5.60,  -5.17E-010, 
  5.70,  -4.47E-010, 
  5.80,  -4.96E-010, 
  5.90,  -5.77E-010, 
  6.00,  -6.52E-010, 
  6.10,  -5.60E-010, 
  6.20,  -4.59E-010, 
  6.30,  -5.19E-010, 
  6.40,  -6.55E-010, 
  6.50,  -6.94E-010, 
