Jul 19, 2019  11:22:17 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -4.77E-010, 
  1.10,   4.22E-011, 
  1.20,   5.35E-008, 
  1.30,   3.94E-007, 
  1.40,   9.59E-008, 
  1.50,   3.99E-008, 
  1.60,   6.95E-008, 
  1.70,   1.22E-007, 
  1.80,   1.72E-007, 
  1.90,   2.11E-007, 
  2.00,   2.23E-007, 
  2.10,   2.25E-007, 
  2.20,   2.06E-007, 
  2.30,   1.49E-007, 
  2.40,   4.97E-008, 
  2.50,   1.59E-008, 
  2.60,   7.78E-009, 
  2.70,   4.57E-009, 
  2.80,   2.78E-009, 
  2.90,   1.96E-009, 
  3.00,   1.54E-009, 
  3.10,   1.21E-009, 
  3.20,   8.05E-010, 
  3.30,   6.81E-010, 
  3.40,   3.83E-010, 
  3.50,   2.45E-010, 
  3.60,   1.29E-010, 
  3.70,  -5.54E-011, 
  3.80,  -6.02E-011, 
  3.90,  -1.20E-011, 
  4.00,  -2.25E-010, 
  4.10,  -2.19E-010, 
  4.20,  -1.53E-010, 
  4.30,  -3.06E-010, 
  4.40,  -4.07E-010, 
  4.50,  -3.12E-010, 
  4.60,  -4.06E-010, 
  4.70,  -3.87E-010, 
  4.80,  -3.10E-010, 
  4.90,  -5.99E-010, 
  5.00,  -6.17E-010, 
  5.10,  -4.16E-010, 
  5.20,  -4.06E-010, 
  5.30,  -4.04E-010, 
  5.40,  -5.88E-010, 
  5.50,  -6.22E-010, 
  5.60,  -4.16E-010, 
  5.70,  -4.39E-010, 
  5.80,  -5.12E-010, 
  5.90,  -4.25E-010, 
  6.00,  -4.71E-010, 
  6.10,  -5.42E-010, 
  6.20,  -4.61E-010, 
  6.30,  -5.11E-010, 
  6.40,  -5.93E-010, 
  6.50,  -4.84E-010, 
