Jul 05, 2019  11:38:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 05, 2019  11:38:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon dioxide        1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   1.1862E-007,   9.5554E-009,   1.2143E-007,   1.3308E-007,   1.8250E-006,   1.3929E-006,   5.0911E-007,   3.0446E-009,   4.5511E-008,   5.9113E-008,  
4.969,   1.1933E-007,   1.0076E-008,   1.2280E-007,   1.3374E-007,   1.8280E-006,   1.3989E-006,   5.0937E-007,   3.3831E-009,   4.6240E-008,   5.8916E-008,  
10.094,   1.1791E-007,   9.9024E-009,   1.2301E-007,   1.3376E-007,   1.8066E-006,   1.3982E-006,   5.1187E-007,   3.1458E-009,   4.5927E-008,   5.8812E-008,  
15.047,   1.1761E-007,   1.0108E-008,   1.2138E-007,   1.3323E-007,   1.8126E-006,   1.3961E-006,   5.1223E-007,   3.1855E-009,   4.5670E-008,   5.8859E-008,  
20.000,   1.1784E-007,   9.9265E-009,   1.2084E-007,   1.3244E-007,   1.8122E-006,   1.4032E-006,   5.1445E-007,   3.2169E-009,   4.5386E-008,   5.8371E-008,  
24.953,   1.1675E-007,   1.0135E-008,   1.2161E-007,   1.3387E-007,   1.7929E-006,   1.4014E-006,   5.1226E-007,   3.0867E-009,   4.5758E-008,   5.8949E-008,  
29.906,   1.1741E-007,   9.9855E-009,   1.2090E-007,   1.3172E-007,   1.8062E-006,   1.3983E-006,   5.1405E-007,   3.3494E-009,   4.5678E-008,   5.8825E-008,  
34.875,   1.1571E-007,   9.8988E-009,   1.1964E-007,   1.3311E-007,   1.8112E-006,   1.4012E-006,   5.1141E-007,   2.9614E-009,   4.5757E-008,   5.8894E-008,  
40.000,   1.1632E-007,   9.8313E-009,   1.2143E-007,   1.3324E-007,   1.7975E-006,   1.4065E-006,   5.1227E-007,   3.2566E-009,   4.5748E-008,   5.8480E-008,  
44.953,   1.1627E-007,   9.8831E-009,   1.2010E-007,   1.3167E-007,   1.8048E-006,   1.4055E-006,   5.1137E-007,   3.1651E-009,   4.5792E-008,   5.9063E-008,  
49.906,   1.1562E-007,   9.7470E-009,   1.2071E-007,   1.3242E-007,   1.7944E-006,   1.4062E-006,   5.0957E-007,   3.1349E-009,   4.4831E-008,   5.7935E-008,  
54.860,   1.1585E-007,   9.7711E-009,   1.2192E-007,   1.3202E-007,   1.7922E-006,   1.4062E-006,   5.1117E-007,   2.9446E-009,   4.5446E-008,   5.7876E-008,  
59.985,   1.1443E-007,   9.9735E-009,   1.2088E-007,   1.3294E-007,   1.8013E-006,   1.4098E-006,   5.0956E-007,   3.4530E-009,   4.5442E-008,   5.8477E-008,  
64.953,   1.1581E-007,   1.0145E-008,   1.2097E-007,   1.3170E-007,   1.7944E-006,   1.4033E-006,   5.1141E-007,   3.1446E-009,   4.5678E-008,   5.8412E-008,  
69.906,   1.1589E-007,   9.8542E-009,   1.2183E-007,   1.3197E-007,   1.7919E-006,   1.4020E-006,   5.1248E-007,   3.0506E-009,   4.5422E-008,   5.8898E-008,  
74.860,   1.1536E-007,   9.7807E-009,   1.2077E-007,   1.3166E-007,   1.7943E-006,   1.3996E-006,   5.1204E-007,   3.2072E-009,   4.5482E-008,   5.8446E-008,  
79.813,   1.1459E-007,   1.0001E-008,   1.2064E-007,   1.3143E-007,   1.7972E-006,   1.4105E-006,   5.1349E-007,   3.3470E-009,   4.4970E-008,   5.7901E-008,  
84.766,   1.1354E-007,   9.7410E-009,   1.2168E-007,   1.3211E-007,   1.7971E-006,   1.4026E-006,   5.1200E-007,   3.0458E-009,   4.5508E-008,   5.8390E-008,  
89.719,   1.1447E-007,   9.9530E-009,   1.2076E-007,   1.3288E-007,   1.8004E-006,   1.4038E-006,   5.1205E-007,   3.2241E-009,   4.5010E-008,   5.8217E-008,  
94.688,   1.1350E-007,   1.0018E-008,   1.1976E-007,   1.3223E-007,   1.7822E-006,   1.4044E-006,   5.0912E-007,   3.1988E-009,   4.5408E-008,   5.7573E-008,  
99.641,   1.1371E-007,   1.0057E-008,   1.2044E-007,   1.3134E-007,   1.7845E-006,   1.4053E-006,   5.1023E-007,   3.2145E-009,   4.5414E-008,   5.8618E-008,  
104.594,   1.1381E-007,   9.8892E-009,   1.2031E-007,   1.3226E-007,   1.7879E-006,   1.4066E-006,   5.1176E-007,   3.3771E-009,   4.5075E-008,   5.8336E-008,  
109.547,   1.1441E-007,   1.0212E-008,   1.2098E-007,   1.3143E-007,   1.7901E-006,   1.4091E-006,   5.0826E-007,   3.0928E-009,   4.5163E-008,   5.8365E-008,  
114.500,   1.1383E-007,   9.6892E-009,   1.1891E-007,   1.3220E-007,   1.7783E-006,   1.4115E-006,   5.1294E-007,   2.9024E-009,   4.5283E-008,   5.7320E-008,  
119.625,   1.1261E-007,   9.8446E-009,   1.2076E-007,   1.3281E-007,   1.7834E-006,   1.4018E-006,   5.0933E-007,   3.1651E-009,   4.5011E-008,   5.7735E-008,  
124.578,   1.1278E-007,   9.8590E-009,   1.2088E-007,   1.3278E-007,   1.7820E-006,   1.3962E-006,   5.0807E-007,   3.0518E-009,   4.4419E-008,   5.7829E-008,  
129.531,   1.1356E-007,   9.8964E-009,   1.2040E-007,   1.3142E-007,   1.7944E-006,   1.4076E-006,   5.0904E-007,   3.3301E-009,   4.4492E-008,   5.7573E-008,  
134.500,   1.1350E-007,   9.9434E-009,   1.2061E-007,   1.3120E-007,   1.7902E-006,   1.4050E-006,   5.0814E-007,   3.1241E-009,   4.4375E-008,   5.7363E-008,  
139.453,   1.1367E-007,   9.8373E-009,   1.2085E-007,   1.3130E-007,   1.7808E-006,   1.3985E-006,   5.1158E-007,   3.3904E-009,   4.5187E-008,   5.7225E-008,  
144.406,   1.1336E-007,   9.8663E-009,   1.2107E-007,   1.3131E-007,   1.7792E-006,   1.4090E-006,   5.0805E-007,   3.1892E-009,   4.4294E-008,   5.7659E-008,  
149.360,   1.1351E-007,   9.6446E-009,   1.2060E-007,   1.3155E-007,   1.7867E-006,   1.4192E-006,   5.1262E-007,   3.2783E-009,   4.5490E-008,   5.7534E-008,  
154.328,   1.1372E-007,   9.7482E-009,   1.1859E-007,   1.3035E-007,   1.7833E-006,   1.3954E-006,   5.0941E-007,   3.2687E-009,   4.5210E-008,   5.7713E-008,  
159.281,   1.1303E-007,   9.8542E-009,   1.1918E-007,   1.3019E-007,   1.7851E-006,   1.3960E-006,   5.0994E-007,   3.2337E-009,   4.4876E-008,   5.7775E-008,  
164.235,   1.1267E-007,   9.6193E-009,   1.1940E-007,   1.3084E-007,   1.7820E-006,   1.4046E-006,   5.1193E-007,   3.2301E-009,   4.5488E-008,   5.7795E-008,  
169.188,   1.1197E-007,   9.6904E-009,   1.2007E-007,   1.3075E-007,   1.7730E-006,   1.4031E-006,   5.1064E-007,   2.8819E-009,   4.4805E-008,   5.7363E-008,  
174.313,   1.1222E-007,   9.6783E-009,   1.1882E-007,   1.3136E-007,   1.7800E-006,   1.4042E-006,   5.0786E-007,   3.0470E-009,   4.4872E-008,   5.7054E-008,  
179.281,   1.1159E-007,   9.5361E-009,   1.1961E-007,   1.3096E-007,   1.7727E-006,   1.3911E-006,   5.0720E-007,   2.7373E-009,   4.4578E-008,   5.7058E-008,  
184.406,   1.1195E-007,   1.0070E-008,   1.2013E-007,   1.3110E-007,   1.7878E-006,   1.3892E-006,   5.1047E-007,   2.9867E-009,   4.4472E-008,   5.7749E-008,  
189.360,   1.1246E-007,   9.7639E-009,   1.2018E-007,   1.3047E-007,   1.7885E-006,   1.4004E-006,   5.1167E-007,   3.1229E-009,   4.4599E-008,   5.7404E-008,  
194.313,   1.1338E-007,   9.7072E-009,   1.1932E-007,   1.2971E-007,   1.7740E-006,   1.4011E-006,   5.1047E-007,   3.3530E-009,   4.4366E-008,   5.7773E-008,  
199.266,   1.1242E-007,   9.7084E-009,   1.1915E-007,   1.3044E-007,   1.7704E-006,   1.3924E-006,   5.1343E-007,   3.1880E-009,   4.4811E-008,   5.7714E-008,  
204.219,   1.1199E-007,   9.5976E-009,   1.1914E-007,   1.3076E-007,   1.7792E-006,   1.3998E-006,   5.0560E-007,   3.1554E-009,   4.4447E-008,   5.6801E-008,  
209.172,   1.1215E-007,   9.9783E-009,   1.1997E-007,   1.3075E-007,   1.7823E-006,   1.4035E-006,   5.0933E-007,   2.9675E-009,   4.4687E-008,   5.7243E-008,  
214.141,   1.1178E-007,   9.7229E-009,   1.1901E-007,   1.3118E-007,   1.7728E-006,   1.3988E-006,   5.0968E-007,   3.0253E-009,   4.5011E-008,   5.7499E-008,  
219.094,   1.1203E-007,   9.4807E-009,   1.1834E-007,   1.3039E-007,   1.7833E-006,   1.4075E-006,   5.0926E-007,   2.9084E-009,   4.4802E-008,   5.6925E-008,  
224.047,   1.1145E-007,   9.6072E-009,   1.1945E-007,   1.2978E-007,   1.7776E-006,   1.4010E-006,   5.1193E-007,   3.0590E-009,   4.5373E-008,   5.7041E-008,  
229.000,   1.1220E-007,   9.5169E-009,   1.1761E-007,   1.3038E-007,   1.7785E-006,   1.4079E-006,   5.1246E-007,   3.1880E-009,   4.4490E-008,   5.6658E-008,  
233.969,   1.1207E-007,   9.5940E-009,   1.1959E-007,   1.2968E-007,   1.7725E-006,   1.4104E-006,   5.1637E-007,   2.9578E-009,   4.4630E-008,   5.7223E-008,  
238.922,   1.1129E-007,   9.3867E-009,   1.1891E-007,   1.3092E-007,   1.7752E-006,   1.4003E-006,   5.1176E-007,   3.0542E-009,   4.4446E-008,   5.6713E-008,  
243.875,   1.1152E-007,   9.6506E-009,   1.1842E-007,   1.3119E-007,   1.7728E-006,   1.4016E-006,   5.0968E-007,   3.0012E-009,   4.4931E-008,   5.6737E-008,  
248.828,   1.1123E-007,   9.9566E-009,   1.2046E-007,   1.3060E-007,   1.7784E-006,   1.3973E-006,   5.0876E-007,   3.2253E-009,   4.4290E-008,   5.6702E-008,  
253.781,   1.1144E-007,   9.8506E-009,   1.2023E-007,   1.3011E-007,   1.7698E-006,   1.4055E-006,   5.0912E-007,   3.1976E-009,   4.4918E-008,   5.6420E-008,  
258.735,   1.1076E-007,   1.0069E-008,   1.1937E-007,   1.3139E-007,   1.7778E-006,   1.3996E-006,   5.0818E-007,   3.3855E-009,   4.4208E-008,   5.7127E-008,  
263.703,   1.1111E-007,   9.5590E-009,   1.1946E-007,   1.3057E-007,   1.7832E-006,   1.4050E-006,   5.1306E-007,   3.2747E-009,   4.4917E-008,   5.6611E-008,  
268.656,   1.1197E-007,   9.7639E-009,   1.1972E-007,   1.3001E-007,   1.7645E-006,   1.3953E-006,   5.0957E-007,   3.0578E-009,   4.3959E-008,   5.6733E-008,  
273.610,   1.1116E-007,   9.5964E-009,   1.2049E-007,   1.3053E-007,   1.7721E-006,   1.3981E-006,   5.0843E-007,   3.1349E-009,   4.4327E-008,   5.6577E-008,  
278.563,   1.1169E-007,   9.5663E-009,   1.1940E-007,   1.2990E-007,   1.7771E-006,   1.3979E-006,   5.0934E-007,   2.9855E-009,   4.4645E-008,   5.6889E-008,  
283.516,   1.1040E-007,   9.2120E-009,   1.1888E-007,   1.3063E-007,   1.7727E-006,   1.3948E-006,   5.1130E-007,   2.9675E-009,   4.4364E-008,   5.6605E-008,  
288.485,   1.1065E-007,   9.5747E-009,   1.1830E-007,   1.2966E-007,   1.7765E-006,   1.3984E-006,   5.1069E-007,   3.0602E-009,   4.3877E-008,   5.6667E-008,  
293.438,   1.1032E-007,   9.3940E-009,   1.1957E-007,   1.2951E-007,   1.7650E-006,   1.3973E-006,   5.0987E-007,   2.8771E-009,   4.4159E-008,   5.6192E-008,  
298.391,   1.1007E-007,   9.3735E-009,   1.1896E-007,   1.3018E-007,   1.7645E-006,   1.3955E-006,   5.1185E-007,   2.9795E-009,   4.4345E-008,   5.6437E-008,  
303.344,   1.1056E-007,   9.5337E-009,   1.1847E-007,   1.3023E-007,   1.7827E-006,   1.4056E-006,   5.0971E-007,   3.1663E-009,   4.4349E-008,   5.6353E-008,  
308.313,   1.0961E-007,   9.5795E-009,   1.1866E-007,   1.2886E-007,   1.7813E-006,   1.3973E-006,   5.0745E-007,   3.1000E-009,   4.4490E-008,   5.5759E-008,  
313.266,   1.1068E-007,   9.3120E-009,   1.1856E-007,   1.3026E-007,   1.7641E-006,   1.4031E-006,   5.1082E-007,   3.1470E-009,   4.4892E-008,   5.6641E-008,  
318.219,   1.0889E-007,   9.7325E-009,   1.1917E-007,   1.2840E-007,   1.7689E-006,   1.3966E-006,   5.0860E-007,   3.0434E-009,   4.4343E-008,   5.6314E-008,  
323.172,   1.0932E-007,   9.7675E-009,   1.1846E-007,   1.2985E-007,   1.7716E-006,   1.4018E-006,   5.1130E-007,   3.0590E-009,   4.4865E-008,   5.6439E-008,  
328.125,   1.1043E-007,   9.6422E-009,   1.1906E-007,   1.3055E-007,   1.7733E-006,   1.3936E-006,   5.1332E-007,   2.9699E-009,   4.4483E-008,   5.5923E-008,  
333.078,   1.1014E-007,   9.7602E-009,   1.1791E-007,   1.2974E-007,   1.7674E-006,   1.3885E-006,   5.0814E-007,   2.9964E-009,   4.4007E-008,   5.6363E-008,  
338.047,   1.0995E-007,   9.5566E-009,   1.1981E-007,   1.2899E-007,   1.7734E-006,   1.3865E-006,   5.0645E-007,   2.9783E-009,   4.4192E-008,   5.6410E-008,  
343.000,   1.1094E-007,   9.5976E-009,   1.1817E-007,   1.2990E-007,   1.7651E-006,   1.3922E-006,   5.0437E-007,   3.0458E-009,   4.4525E-008,   5.5878E-008,  
347.953,   1.1111E-007,   9.5301E-009,   1.1868E-007,   1.3040E-007,   1.7733E-006,   1.4023E-006,   5.0774E-007,   3.1976E-009,   4.4198E-008,   5.6523E-008,  
352.906,   1.1124E-007,   9.6470E-009,   1.1863E-007,   1.2941E-007,   1.7715E-006,   1.3907E-006,   5.0695E-007,   3.1241E-009,   4.4027E-008,   5.6402E-008,  
357.875,   1.1127E-007,   9.4566E-009,   1.1863E-007,   1.3031E-007,   1.7771E-006,   1.3957E-006,   5.1097E-007,   3.0771E-009,   4.4161E-008,   5.6742E-008,  
362.828,   1.1003E-007,   9.3843E-009,   1.1878E-007,   1.3081E-007,   1.7765E-006,   1.3953E-006,   5.0772E-007,   3.0819E-009,   4.4000E-008,   5.5880E-008,  
367.781,   1.1060E-007,   9.5831E-009,   1.1862E-007,   1.3020E-007,   1.7669E-006,   1.3987E-006,   5.0827E-007,   3.0024E-009,   4.4320E-008,   5.6186E-008,  
372.735,   1.1037E-007,   9.7940E-009,   1.1867E-007,   1.2997E-007,   1.7853E-006,   1.3938E-006,   5.1122E-007,   3.0687E-009,   4.4033E-008,   5.5913E-008,  
377.703,   1.1114E-007,   9.6181E-009,   1.1852E-007,   1.2912E-007,   1.7710E-006,   1.4034E-006,   5.1188E-007,   3.0482E-009,   4.3805E-008,   5.5966E-008,  
382.656,   1.1059E-007,   9.4072E-009,   1.1845E-007,   1.2846E-007,   1.7579E-006,   1.3879E-006,   5.0787E-007,   3.2145E-009,   4.3783E-008,   5.5708E-008,  
387.610,   1.0996E-007,   9.0675E-009,   1.1868E-007,   1.2968E-007,   1.7558E-006,   1.3923E-006,   5.0651E-007,   3.3494E-009,   4.3977E-008,   5.6200E-008,  
392.563,   1.1007E-007,   9.4398E-009,   1.1802E-007,   1.2883E-007,   1.7600E-006,   1.3916E-006,   5.0711E-007,   3.0542E-009,   4.4192E-008,   5.6155E-008,  
397.516,   1.1032E-007,   9.7663E-009,   1.1855E-007,   1.2968E-007,   1.7514E-006,   1.3911E-006,   5.0558E-007,   3.1060E-009,   4.3933E-008,   5.6336E-008,  
402.485,   1.1028E-007,   9.3277E-009,   1.1819E-007,   1.2962E-007,   1.7579E-006,   1.3912E-006,   5.0324E-007,   2.9687E-009,   4.4055E-008,   5.6024E-008,  
407.438,   1.0980E-007,   9.6000E-009,   1.1816E-007,   1.2933E-007,   1.7534E-006,   1.3911E-006,   5.0718E-007,   3.1976E-009,   4.3782E-008,   5.5704E-008,  
412.391,   1.1056E-007,   9.4024E-009,   1.1811E-007,   1.2853E-007,   1.7664E-006,   1.4039E-006,   5.0552E-007,   2.9639E-009,   4.4155E-008,   5.5804E-008,  
417.344,   1.0971E-007,   9.6554E-009,   1.1780E-007,   1.2854E-007,   1.7660E-006,   1.3972E-006,   5.0701E-007,   3.0747E-009,   4.4257E-008,   5.5781E-008,  
422.313,   1.1139E-007,   9.4145E-009,   1.1901E-007,   1.2881E-007,   1.7601E-006,   1.3967E-006,   5.0867E-007,   3.0434E-009,   4.4457E-008,   5.6381E-008,  
