Jul 05, 2019  10:11:18 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -4.17E-010, 
  1.10,  -1.31E-010, 
  1.20,   4.76E-009, 
  1.30,   5.52E-008, 
  1.40,   3.63E-008, 
  1.50,   1.68E-008, 
  1.60,   2.03E-008, 
  1.70,   3.48E-008, 
  1.80,   5.62E-008, 
  1.90,   7.78E-008, 
  2.00,   9.32E-008, 
  2.10,   9.73E-008, 
  2.20,   9.20E-008, 
  2.30,   6.60E-008, 
  2.40,   2.78E-008, 
  2.50,   1.12E-008, 
  2.60,   5.91E-009, 
  2.70,   3.37E-009, 
  2.80,   1.90E-009, 
  2.90,   1.29E-009, 
  3.00,   7.95E-010, 
  3.10,   6.58E-010, 
  3.20,   4.11E-010, 
  3.30,   6.51E-011, 
  3.40,  -4.94E-011, 
  3.50,  -9.64E-011, 
  3.60,  -3.57E-010, 
  3.70,  -5.29E-010, 
  3.80,  -2.81E-010, 
  3.90,  -3.87E-010, 
  4.00,  -4.88E-010, 
  4.10,  -5.42E-010, 
  4.20,  -6.81E-010, 
  4.30,  -7.02E-010, 
  4.40,  -5.88E-010, 
  4.50,  -6.11E-010, 
  4.60,  -7.08E-010, 
  4.70,  -7.01E-010, 
  4.80,  -7.96E-010, 
  4.90,  -6.81E-010, 
  5.00,  -5.80E-010, 
  5.10,  -6.17E-010, 
  5.20,  -5.45E-010, 
  5.30,  -5.37E-010, 
  5.40,  -6.16E-010, 
  5.50,  -8.16E-010, 
  5.60,  -8.69E-010, 
  5.70,  -8.95E-010, 
  5.80,  -7.81E-010, 
  5.90,  -8.45E-010, 
  6.00,  -8.22E-010, 
  6.10,  -8.05E-010, 
  6.20,  -8.72E-010, 
  6.30,  -7.90E-010, 
  6.40,  -8.94E-010, 
  6.50,  -9.13E-010, 
