Data from AZ-exp-updated.txt
Mole fractions
T/K           P/MPa         H2(g)         H2O(g)        CO(g)         H2S(g)        CO2(g)        
0473.27       5.8140E-10    9.9552E-2     8.0068E-1     5.2443E-5     1.6550E-4     9.9552E-2     
0523.70       5.1080E-10    8.8240E-2     8.1961E-1     1.1088E-4     2.9188E-4     9.1743E-2     
0573.16       5.5470E-10    8.4639E-2     8.1971E-1     2.4110E-4     7.7375E-5     9.5329E-2     
0623.39       6.9170E-10    8.2710E-2     8.1762E-1     4.7345E-4     2.0003E-4     9.8996E-2     
0673.55       9.0950E-10    8.0457E-2     8.1706E-1     8.1999E-4     2.1406E-4     1.0144E-1     
0723.26       7.9380E-10    8.9889E-2     7.9423E-1     1.6850E-3     2.2244E-4     1.1390E-1     
0773.58       6.7250E-10    1.0134E-1     7.6598E-1     3.3314E-3     2.2476E-4     1.2856E-1     
0823.48       4.8370E-10    1.2812E-1     6.9024E-1     8.8500E-3     7.1918E-5     1.7197E-1     
0873.66       3.7600E-10    1.5205E-1     5.3182E-1     3.0602E-2     3.1859E-5     2.8455E-1     
0923.16       3.5270E-10    1.4436E-1     4.1651E-1     6.3579E-2     1.1282E-5     3.7424E-1     
0973.43       2.2920E-10    2.0295E-1     3.2017E-1     1.3421E-1     1.2283E-5     3.4053E-1     
1023.43       3.2240E-10    1.9389E-1     2.2588E-1     2.2950E-1     8.3331E-6     3.4842E-1     
1073.18       2.7220E-10    1.9646E-1     3.0702E-1     1.8350E-1     1.5644E-6     3.0992E-1     
1123.37       3.0170E-10    1.9091E-1     3.1732E-1     1.9374E-1     6.3452E-7     2.9376E-1     
1173.41       3.9350E-10    1.8670E-1     3.6513E-1     1.7530E-1     1.8648E-7     2.6852E-1     
1223.36       5.1830E-10    1.6662E-1     4.3019E-1     1.4468E-1     2.4878E-8     2.5496E-1     
1273.62       6.0660E-10    1.5766E-1     4.3472E-1     1.5143E-1     6.2241E-9     2.5128E-1     
1323.58       8.9170E-10    1.4917E-1     4.0635E-1     1.7730E-1     3.5022E-9     2.5935E-1     
1323.58       5.9170E-10    1.4860E-1     4.0572E-1     1.7692E-1     2.3031E-9     2.5938E-1     
1373.58       5.0060E-10    1.2153E-1     3.1620E-1     2.4070E-1     8.4996E-10    3.0300E-1     
1423.24       6.1430E-10    4.5980E-2     2.2690E-1     2.2192E-1     4.6263E-11    4.8183E-1     
1457.36       4.6140E-10    5.9468E-2     2.5469E-1     2.2997E-1     1.5540E-11    4.0775E-1     
