Data from Murch-exp-updated.txt
Mole fractions
T/K           P/MPa         H2(g)         H2O(g)        CO(g)         H2S(g)        CO2(g)        
0473.18       3.0580E-10    2.5936E-2     9.4088E-1     3.8674E-6     0.0000E+0     3.3177E-2     
0525.16       3.7980E-10    2.4872E-2     9.1762E-1     1.7940E-5     0.0000E+0     5.7488E-2     
0573.76       4.7290E-10    2.1292E-2     9.0134E-1     4.5126E-5     0.0000E+0     7.7324E-2     
0623.95       6.7000E-10    3.9986E-2     8.5758E-1     2.2682E-4     0.0000E+0     1.0221E-1     
0673.48       8.0450E-10    5.1638E-2     8.4288E-1     5.2743E-4     0.0000E+0     1.0495E-1     
0723.52       6.7830E-10    5.8260E-2     8.2932E-1     1.0251E-3     0.0000E+0     1.1139E-1     
0773.58       5.5300E-10    6.9545E-2     8.0287E-1     2.1285E-3     0.0000E+0     1.2545E-1     
0823.55       4.1020E-10    7.3133E-2     7.7559E-1     3.8559E-3     0.0000E+0     1.4742E-1     
0873.41       3.3650E-10    7.2674E-2     6.9972E-1     8.5464E-3     0.0000E+0     2.1906E-1     
0923.36       2.7640E-10    7.5460E-2     6.0724E-1     1.8230E-2     4.1184E-8     2.9898E-1     
0973.17       2.3150E-10    1.3577E-1     4.4462E-1     6.6873E-2     1.0606E-7     3.5262E-1     
1024.01       2.6060E-10    1.7516E-1     3.2094E-1     1.4883E-1     5.0973E-7     3.5456E-1     
1073.34       2.3090E-10    1.5424E-1     4.3872E-1     9.9862E-2     2.6490E-8     3.0681E-1     
1123.44       2.5770E-10    1.5726E-1     4.3122E-1     1.1719E-1     3.8026E-8     2.9309E-1     
1173.62       2.7720E-10    1.4909E-1     4.3406E-1     1.2621E-1     2.8579E-8     2.8764E-1     
1223.28       2.9800E-10    1.3240E-1     4.1921E-1     1.4036E-1     1.0945E-8     3.0338E-1     
1273.54       3.3140E-10    1.2116E-1     3.6783E-1     1.7834E-1     4.3592E-9     3.2590E-1     
1323.29       3.2220E-10    8.8548E-2     3.9254E-1     1.5020E-1     5.4452E-10    3.5779E-1     
1373.32       3.0120E-10    5.9036E-2     3.7076E-1     1.3643E-1     4.2989E-11    4.1475E-1     
1423.74       2.7160E-10    3.9688E-2     3.2581E-1     1.2823E-1     3.1496E-12    4.6270E-1     
1457.80       9.2240E-11    3.7502E-2     1.6432E-1     2.4509E-1     3.3996E-12    4.4424E-1     
