T/K       ,    P/MPa         ,H2(g)         ,C(g)          ,N(g)          ,CH4(g)        ,H2O(g)        ,CO(g)         ,O2(g)         ,H2S(g)        ,NaOH(g)       ,KH(g)         ,CO2(g)        ,N2(g)         ,Fe(g)         ,H(g)          ,SO2(g)        ,Ni(g)         ,SiO(g)        ,Na(g)         ,OH(g)         ,O(g)          ,SO(g)         ,S2(g)         ,KCl(g)        ,HF(g)         ,NaCl(g)       ,Co(g)         ,K(g)          ,CrO2(g)       ,FeO(g)        ,Mg(g)         ,Mn(g)         ,PO2(g)        ,PO(g)
1500.00,1E-09,6.001E-02,1.572E-22,3.4906E-11,8.5595E-27,3.7895E-01,3.3473E-02,1.4154E-02,1.5805E-09,8.3793E-07,5.407E-11,8.1482E-02,3.2993E-03,2.5451E-01,4.3132E-02,5.9438E-02,1.4024E-02,1.3369E-02,1.2198E-02,7.7477E-03,4.821E-03,1.8047E-03,4.9936E-09,1.4459E-05,2.0699E-04,3.0383E-05,2.5711E-03,1.2698E-03,3.1591E-03,2.5262E-03,2.1911E-03,1.7661E-03,1.3534E-03,1.199E-03
1450.00,1E-09,6.2443E-02,2.8846E-23,9.5227E-12,1.5914E-26,4.0996E-01,3.2059E-02,3.8383E-03,3.0156E-09,1.042E-06,5.1594E-11,8.8262E-02,3.4598E-03,2.6452E-01,2.3637E-02,6.2527E-02,1.4679E-02,2.8703E-03,1.2741E-02,3.7077E-03,1.2435E-03,1.5823E-03,1.0172E-08,2.8493E-05,2.1609E-04,5.8034E-05,2.6921E-03,1.3155E-03,5.3027E-04,2.1097E-03,5.072E-04,1.8474E-03,1.451E-03,1.2206E-03
1400.00,1E-09,1.0842E-01,1.3342E-23,2.3955E-12,2.4377E-25,4.0543E-01,4.7577E-02,2.8333E-04,3.3721E-08,9.5024E-07,6.4841E-11,8.175E-02,3.7224E-03,2.2521E-01,1.6018E-02,6.6345E-02,1.5783E-02,1.0081E-03,1.3668E-02,1.1866E-03,1.5922E-04,2.5265E-03,2.4663E-07,4.5411E-05,2.3232E-04,8.9419E-05,2.8958E-03,1.3992E-03,5.5294E-05,7.7672E-04,1.9289E-04,1.984E-03,1.1687E-03,1.7014E-03
1350.00,1E-09,2.1741E-01,7.6575E-24,5.5563E-13,7.3846E-24,3.6561E-01,7.8618E-02,1.1698E-05,7.5232E-07,7.7869E-07,9.1018E-11,6.7112E-02,4.1954E-03,1.3327E-01,1.1113E-02,7.22E-02,1.7787E-02,3.7869E-04,1.5371E-02,3.0263E-04,1.4425E-05,5.1767E-03,1.7152E-05,6.9137E-05,2.6236E-04,1.3131E-04,3.2642E-03,1.559E-03,5.7891E-06,1.5387E-04,8.4615E-05,2.2312E-03,7.3833E-04,2.3517E-03
1300.00,1E-09,3.2116E-01,2.2438E-24,1.1343E-13,7.5582E-23,3.2436E-01,1.0217E-01,7.6335E-07,7.131E-06,7.2297E-07,1.0589E-10,5.8401E-02,4.6229E-03,5.1238E-02,6.2693E-03,7.6556E-02,1.959E-02,9.3832E-05,1.6894E-02,8.2491E-05,1.5449E-06,7.6335E-03,3.7966E-04,1.0214E-04,2.8938E-04,1.8709E-04,3.5959E-03,1.6918E-03,6.1658E-07,2.5875E-05,2.4275E-05,2.4513E-03,1.9688E-04,1.0252E-03
1250.00,1E-09,3.6391E-01,3.229E-25,1.98E-14,2.7913E-22,3.1279E-01,1.0844E-01,8.7379E-08,2.6098E-05,8.006E-07,1.0124E-10,5.9426E-02,4.833E-03,2.2915E-02,2.9158E-03,7.7226E-02,1.077E-02,4.0392E-06,1.7619E-02,2.5804E-05,2.0452E-07,7.4417E-03,2.0266E-03,1.3546E-04,3.0208E-04,2.387E-04,3.7559E-03,1.7396E-03,4.8748E-08,6.9995E-06,7.9267E-06,2.5543E-03,1.8624E-06,1.1162E-05
1200.00,1E-09,3.8632E-01,3.2906E-26,2.9726E-15,8.2241E-22,3.1605E-01,1.0914E-01,1.0748E-08,7.1694E-05,9.6618E-07,9.2073E-11,6.4885E-02,5.0102E-03,4.5472E-03,1.2264E-03,7.2948E-02,2.0196E-03,4.014E-07,1.8232E-02,8.0018E-06,2.5971E-08,5.9692E-03,6.5699E-03,1.6573E-04,3.1215E-04,2.7933E-04,1.6612E-03,1.7772E-03,4.505E-09,9.1428E-07,1.1207E-06,2.0914E-03,1.7594E-07,1.0822E-06
1150.00,1E-09,3.8212E-01,2.2856E-27,3.7433E-16,1.9007E-21,3.316E-01,1.0225E-01,1.3832E-09,1.4771E-04,1.2502E-06,7.8395E-11,7.4495E-02,5.0887E-03,6.9215E-04,4.611E-04,6.3815E-02,3.2673E-04,2.9353E-08,1.8496E-02,2.4166E-06,3.0901E-09,3.9008E-03,1.2962E-02,1.8902E-04,3.1461E-04,3.0274E-04,2.6891E-04,1.7828E-03,3.5818E-10,9.8988E-08,1.182E-07,3.2204E-04,1.2976E-08,7.3264E-08
1100.00,1E-09,3.6918E-01,1.1716E-28,3.8932E-17,4.2587E-21,3.5124E-01,9.2093E-02,1.5655E-10,2.7695E-04,1.6746E-06,6.4837E-11,8.6299E-02,5.136E-03,8.5699E-05,1.5704E-04,5.0967E-02,4.4698E-05,1.6408E-09,1.8662E-02,6.6595E-07,3.1211E-10,2.2013E-03,2.0686E-02,2.0452E-04,3.1239E-04,3.0881E-04,3.6755E-05,1.7824E-03,2.2889E-11,8.702E-09,9.8248E-09,4.0441E-05,7.3916E-10,3.6924E-09
1050.00,1E-09,3.5388E-01,4.4278E-30,3.2647E-18,9.9786E-21,3.7245E-01,8.038E-02,1.4446E-11,5.0107E-04,2.3022E-06,5.2506E-11,9.951E-02,5.1792E-03,8.637E-06,4.8228E-05,3.6529E-02,5.0484E-06,6.9215E-11,1.8816E-02,1.6214E-07,2.5404E-11,1.0764E-03,2.8803E-02,2.1713E-04,3.0408E-04,3.0724E-04,4.142E-06,1.7801E-03,1.1223E-12,6.0386E-10,6.4101E-10,4.1452E-06,3.1598E-11,1.3778E-10
