T/K       ,    P/MPa         ,H2(g)         ,C(g)          ,N(g)          ,CH4(g)        ,H2O(g)        ,CO(g)         ,O2(g)         ,H2S(g)        ,NaOH(g)       ,KH(g)         ,CO2(g)        ,N2(g)         ,Fe(g)         ,H(g)          ,SO2(g)        ,Ni(g)         ,SiO(g)        ,Na(g)         ,OH(g)         ,O(g)          ,SO(g)         ,S2(g)         ,KCl(g)        ,HF(g)         ,NaCl(g)       ,Co(g)         ,K(g)          ,CrO2(g)       ,FeO(g)        ,Mg(g)         ,Mn(g)         ,PO2(g)        ,PO(g),
1500.00,1E-09,5.2373E-02,1.7318E-22,3.4852E-11,7.1824E-27,3.361E-01,3.7475E-02,1.4617E-02,1.5035E-09,3.7082E-07,2.452E-11,9.2705E-02,3.2892E-03,2.8896E-01,4.0294E-02,6.691E-02,1.7237E-02,1.3155E-02,5.6861E-03,7.3556E-03,4.8993E-03,1.9991E-03,5.9328E-09,8.6796E-06,2.021E-04,1.7514E-05,7.8495E-04,6.164E-04,4.3448E-03,2.9148E-03,2.1561E-03,2.0694E-03,1.2752E-03,1.1117E-03,
1450.00,1E-09,5.4232E-02,3.1303E-23,9.5166E-12,1.3026E-26,3.6527E-01,3.569E-02,4.0398E-03,2.8066E-09,4.6476E-07,2.3281E-11,1.0081E-01,3.4554E-03,3.0017E-01,2.2028E-02,7.0522E-02,1.8074E-02,2.7978E-03,5.9443E-03,3.5448E-03,1.2757E-03,1.7395E-03,1.1681E-08,1.8327E-05,2.1132E-04,3.5966E-05,8.2333E-04,6.3695E-04,4.9779E-04,2.456E-03,4.9438E-04,2.1678E-03,1.3751E-03,1.1276E-03,
1400.00,1E-09,1.0683E-01,1.8504E-23,2.4111E-12,3.2826E-25,3.5597E-01,5.8794E-02,2.2495E-04,4.7622E-08,3.9733E-07,3.1454E-11,9.0017E-02,3.771E-03,2.5275E-01,1.59E-02,7.5493E-02,1.9712E-02,1.1314E-03,6.4614E-03,1.0496E-03,1.4187E-04,3.2264E-03,5.0659E-07,3.068E-05,2.3066E-04,5.8439E-05,8.9837E-04,6.838E-04,5.2195E-05,7.7672E-04,2.1648E-04,2.3606E-03,1.0355E-03,1.6918E-03,
1350.00,1E-09,2.1852E-01,1.1286E-23,5.6152E-13,1.0995E-23,3.1119E-01,9.8124E-02,8.3889E-06,1.1986E-06,3.1457E-07,4.4573E-11,7.0934E-02,4.285E-03,1.5737E-01,1.1141E-02,8.2075E-02,2.2396E-02,4.4718E-04,7.3141E-03,2.5693E-04,1.2216E-05,6.9491E-03,4.3098E-05,5.0298E-05,2.6271E-04,9.3059E-05,1.0209E-03,7.6152E-04,5.3274E-06,1.5387E-04,9.9918E-05,2.6749E-03,6.2858E-04,2.3642E-03,
1300.00,1E-09,3.313E-01,3.6187E-24,1.1552E-13,1.2972E-22,2.6456E-01,1.3029E-01,4.7721E-07,1.3183E-05,2.7968E-07,5.2483E-11,5.8882E-02,4.7948E-03,6.3357E-02,6.3675E-03,8.5768E-02,2.5038E-02,1.2416E-04,8.1386E-03,6.6244E-05,1.2215E-06,1.0816E-02,1.2193E-03,8.278E-05,2.9453E-04,1.4968E-04,1.1418E-03,8.2563E-04,5.5448E-07,2.5298E-05,3.0017E-05,2.9815E-03,2.4508E-04,1.6141E-03,
1250.00,1E-09,3.7749E-01,5.2444E-25,2.0339E-14,4.8784E-22,2.5811E-01,1.4011E-01,5.5293E-08,4.6178E-05,3.1639E-07,4.9889E-11,6.1076E-02,5.0994E-03,2.8942E-02,2.9697E-03,8.3356E-02,1.077E-02,5.0301E-06,8.5938E-03,2.0906E-05,1.6269E-07,1.0098E-02,5.8964E-03,1.2424E-04,3.1316E-04,2.207E-04,1.2124E-03,8.417E-04,4.3377E-08,7.0325E-06,1.0012E-05,3.1562E-03,2.0443E-06,1.5403E-05,
1200.00,1E-09,3.9768E-01,5.1891E-26,3.0646E-15,1.3743E-21,2.6693E-01,1.412E-01,7.2354E-09,1.1041E-04,3.932E-07,4.4221E-11,6.8877E-02,5.3249E-03,5.604E-03,1.2443E-03,7.3465E-02,2.0196E-03,4.7852E-07,8.9131E-03,6.661E-06,2.1308E-08,7.3269E-03,1.4704E-02,1.67E-04,3.2673E-04,2.9069E-04,1.2616E-03,8.413E-04,4.058E-09,9.2447E-07,1.3811E-06,2.5774E-03,1.8479E-07,1.3854E-06,
1150.00,1E-09,3.9166E-01,3.5258E-27,3.8655E-16,3.0801E-21,2.8599E-01,1.3272E-01,9.7937E-10,2.0428E-04,5.2004E-07,3.6616E-11,8.1362E-02,5.4264E-03,8.1727E-04,4.6682E-04,6.0966E-02,3.2673E-04,3.5339E-08,9.032E-03,2.0587E-06,2.6001E-09,4.429E-03,2.3601E-02,2.0432E-04,3.3184E-04,3.4636E-04,2.6891E-04,8.2248E-04,3.2962E-10,9.835E-08,1.3957E-07,3.8025E-04,1.4563E-08,9.7724E-08,
1100.00,1E-09,3.7827E-01,1.7963E-28,4.023E-17,6.855E-21,3.0662E-01,1.203E-01,1.1364E-10,3.56E-04,7.0477E-07,2.9787E-11,9.605E-02,5.484E-03,9.1479E-05,1.5896E-04,4.6415E-02,4.4698E-05,2.3283E-09,9.1071E-03,5.7434E-07,2.6592E-10,2.3529E-03,3.2556E-02,2.273E-04,3.328E-04,3.6904E-04,3.6755E-05,8.0897E-04,2.2154E-11,7.9143E-09,1.0487E-08,4.3168E-05,1.2273E-09,7.1956E-09,
1050.00,1E-09,3.6461E-01,6.8944E-30,3.3741E-18,1.6494E-20,3.261E-01,1.0636E-01,1.0432E-11,6.1655E-04,9.6892E-07,2.392E-11,1.1189E-01,5.5319E-03,8.3903E-06,4.8955E-05,3.1502E-02,5.0484E-06,1.1953E-10,9.1808E-03,1.3985E-07,2.1588E-11,1.0924E-03,4.1079E-02,2.435E-04,3.3015E-04,3.7458E-04,4.142E-06,7.989E-04,1.1387E-12,4.9848E-10,6.227E-10,4.0268E-06,8.1245E-11,4.1687E-10,
