Data from Winselwan-exp-updated.txt
Mole fractions
T/K           P/MPa         H2(g)         H2O(g)        CO(g)         H2S(g)        CO2(g)        
0473.22       4.1880E-10    7.5044E-2     8.4976E-1     2.8049E-5     1.2508E-4     7.5044E-2     
0523.34       4.4220E-10    6.0014E-2     8.7468E-1     4.9856E-5     1.2742E-4     6.5132E-2     
0573.51       4.8640E-10    5.2637E-2     8.7775E-1     1.0241E-4     1.3548E-4     6.9372E-2     
0623.50       5.1550E-10    6.6988E-2     8.3242E-1     3.8136E-4     1.0315E-4     1.0010E-1     
0673.21       6.1290E-10    1.0272E-1     7.2876E-1     1.9199E-3     9.5391E-5     1.6650E-1     
0723.22       5.8140E-10    1.2562E-1     6.7196E-1     4.8212E-3     2.0105E-4     1.9738E-1     
0773.33       4.4000E-10    1.2742E-1     6.6614E-1     7.4261E-3     1.7608E-4     1.9857E-1     
0823.72       3.6280E-10    1.4094E-1     6.1078E-1     1.4926E-2     4.6805E-5     2.3292E-1     
0873.48       3.2390E-10    1.4030E-1     5.8296E-1     2.2901E-2     1.1752E-5     2.5322E-1     
0923.21       2.9120E-10    1.4589E-1     5.2701E-1     3.8982E-2     4.2291E-6     2.8721E-1     
0973.42       2.6070E-10    1.7834E-1     4.0476E-1     8.9422E-2     3.0030E-6     3.2642E-1     
1023.38       3.4530E-10    1.5594E-1     2.6588E-1     1.7903E-1     1.8676E-6     3.9789E-1     
1073.20       2.4880E-10    1.6796E-1     3.4072E-1     1.5314E-1     5.8028E-7     3.3571E-1     
1123.29       3.2450E-10    1.7420E-1     3.5557E-1     1.6300E-1     3.5348E-7     3.0358E-1     
1173.57       4.1590E-10    1.7727E-1     3.6413E-1     1.7382E-1     2.1431E-7     2.7954E-1     
1223.44       4.1020E-10    1.5830E-1     4.0962E-1     1.5432E-1     3.4742E-8     2.7249E-1     
1273.26       3.9880E-10    1.3806E-1     3.7679E-1     1.8114E-1     6.1608E-9     2.9777E-1     
1323.21       3.3390E-10    1.0955E-1     3.0924E-1     2.2676E-1     8.0743E-10    3.4400E-1     
1373.15       3.2620E-10    6.4012E-2     2.3828E-1     2.4303E-1     3.9402E-11    4.3805E-1     
1423.39       4.1790E-10    2.5378E-2     1.5509E-1     2.1574E-1     4.2254E-12    5.7990E-1     
1457.42       2.7730E-10    2.9924E-2     1.1845E-1     3.0483E-1     3.6739E-12    4.9950E-1     
