Jul 08, 2019  09:55:22 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 08, 2019  09:55:22 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   1.7733E-007,   6.5711E-009,   8.9470E-008,   1.8824E-007,   4.6988E-006,   1.1924E-006,   5.5541E-007,   3.1024E-009,   4.1778E-008,   6.8327E-008,  
10.000,   1.7770E-007,   6.5964E-009,   8.8775E-008,   1.8778E-007,   4.6798E-006,   1.1928E-006,   5.5222E-007,   3.0361E-009,   4.1454E-008,   6.8647E-008,  
20.000,   1.7794E-007,   6.5663E-009,   8.8402E-008,   1.8570E-007,   4.6780E-006,   1.1919E-006,   5.4915E-007,   3.0506E-009,   4.1827E-008,   6.8163E-008,  
30.000,   1.7685E-007,   6.6711E-009,   8.8884E-008,   1.8819E-007,   4.6340E-006,   1.1910E-006,   5.4692E-007,   3.0554E-009,   4.1431E-008,   6.8190E-008,  
40.000,   1.7655E-007,   6.6012E-009,   8.8022E-008,   1.8843E-007,   4.6482E-006,   1.1943E-006,   5.4423E-007,   3.2711E-009,   4.1387E-008,   6.7977E-008,  
50.000,   1.7630E-007,   6.4892E-009,   8.8947E-008,   1.8708E-007,   4.6341E-006,   1.1920E-006,   5.3959E-007,   3.1771E-009,   4.1120E-008,   6.7937E-008,  
60.000,   1.7531E-007,   6.5904E-009,   8.8146E-008,   1.8529E-007,   4.5927E-006,   1.1902E-006,   5.4042E-007,   2.9855E-009,   4.1231E-008,   6.8631E-008,  
70.000,   1.7303E-007,   6.4145E-009,   8.8811E-008,   1.8582E-007,   4.6336E-006,   1.1875E-006,   5.3743E-007,   3.1398E-009,   4.1488E-008,   6.7187E-008,  
80.000,   1.7170E-007,   6.5530E-009,   8.9545E-008,   1.8673E-007,   4.6052E-006,   1.1968E-006,   5.3697E-007,   3.0361E-009,   4.1417E-008,   6.7610E-008,  
90.000,   1.7233E-007,   6.4422E-009,   8.8220E-008,   1.8635E-007,   4.5598E-006,   1.2013E-006,   5.3762E-007,   3.1494E-009,   4.1507E-008,   6.8211E-008,  
100.000,   1.7011E-007,   6.4566E-009,   8.8875E-008,   1.8520E-007,   4.5531E-006,   1.1893E-006,   5.3522E-007,   2.9325E-009,   4.0998E-008,   6.7977E-008,  
