Jul 09, 2019  08:42:59 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -2.39E-010, 
  1.10,  -1.90E-010, 
  1.20,   5.06E-009, 
  1.30,   3.23E-008, 
  1.40,   1.96E-008, 
  1.50,   1.21E-008, 
  1.60,   1.88E-008, 
  1.70,   3.20E-008, 
  1.80,   4.90E-008, 
  1.90,   6.59E-008, 
  2.00,   7.26E-008, 
  2.10,   7.44E-008, 
  2.20,   6.72E-008, 
  2.30,   4.64E-008, 
  2.40,   1.96E-008, 
  2.50,   8.77E-009, 
  2.60,   4.50E-009, 
  2.70,   2.37E-009, 
  2.80,   1.56E-009, 
  2.90,   1.09E-009, 
  3.00,   6.77E-010, 
  3.10,   5.37E-010, 
  3.20,   3.57E-010, 
  3.30,   2.00E-010, 
  3.40,   1.37E-010, 
  3.50,  -3.86E-011, 
  3.60,  -1.16E-010, 
  3.70,  -2.29E-010, 
  3.80,  -3.53E-010, 
  3.90,  -3.05E-010, 
  4.00,  -2.61E-010, 
  4.10,  -2.90E-010, 
  4.20,  -4.51E-010, 
  4.30,  -4.42E-010, 
  4.40,  -4.29E-010, 
  4.50,  -3.49E-010, 
  4.60,  -4.37E-010, 
  4.70,  -5.27E-010, 
  4.80,  -6.52E-010, 
  4.90,  -5.54E-010, 
  5.00,  -5.16E-010, 
  5.10,  -4.82E-010, 
  5.20,  -3.59E-010, 
  5.30,  -4.53E-010, 
  5.40,  -3.61E-010, 
  5.50,  -2.69E-010, 
  5.60,  -3.53E-010, 
  5.70,  -4.49E-010, 
  5.80,  -4.20E-010, 
  5.90,  -6.70E-010, 
  6.00,  -6.23E-010, 
  6.10,  -5.14E-010, 
  6.20,  -7.53E-010, 
  6.30,  -8.66E-010, 
  6.40,  -7.88E-010, 
  6.50,  -8.13E-010, 
