Jul 08, 2019  09:06:50 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -1.16E-009, 
  1.10,  -9.07E-010, 
  1.20,   3.80E-008, 
  1.30,   3.84E-007, 
  1.40,   9.74E-008, 
  1.50,   3.81E-008, 
  1.60,   6.64E-008, 
  1.70,   1.17E-007, 
  1.80,   1.69E-007, 
  1.90,   2.09E-007, 
  2.00,   2.25E-007, 
  2.10,   2.21E-007, 
  2.20,   2.04E-007, 
  2.30,   1.39E-007, 
  2.40,   4.64E-008, 
  2.50,   1.59E-008, 
  2.60,   7.72E-009, 
  2.70,   4.37E-009, 
  2.80,   2.92E-009, 
  2.90,   1.91E-009, 
  3.00,   1.39E-009, 
  3.10,   1.08E-009, 
  3.20,   5.89E-010, 
  3.30,   5.29E-010, 
  3.40,   3.27E-010, 
  3.50,   1.66E-010, 
  3.60,   1.41E-010, 
  3.70,   3.12E-010, 
  3.80,  -9.04E-011, 
  3.90,  -3.58E-010, 
  4.00,  -1.65E-010, 
  4.10,  -3.35E-010, 
  4.20,  -4.51E-010, 
  4.30,  -2.45E-010, 
  4.40,  -3.82E-010, 
  4.50,  -4.58E-010, 
  4.60,  -2.93E-010, 
  4.70,  -4.01E-010, 
  4.80,  -3.39E-010, 
  4.90,  -2.92E-010, 
  5.00,  -5.53E-010, 
  5.10,  -7.19E-010, 
  5.20,  -5.69E-010, 
  5.30,  -7.14E-010, 
  5.40,  -7.12E-010, 
  5.50,  -5.17E-010, 
  5.60,  -7.90E-010, 
  5.70,  -9.13E-010, 
  5.80,  -7.71E-010, 
  5.90,  -7.95E-010, 
  6.00,  -7.23E-010, 
  6.10,  -5.96E-010, 
  6.20,  -5.90E-010, 
  6.30,  -7.88E-010, 
  6.40,  -8.54E-010, 
  6.50,  -9.18E-010, 
