Jul 09, 2019  09:00:39 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,   3.98E-011, 
  1.10,   5.98E-010, 
  1.20,   7.60E-008, 
  1.30,   4.50E-007, 
  1.40,   1.08E-007, 
  1.50,   5.28E-008, 
  1.60,   1.07E-007, 
  1.70,   1.84E-007, 
  1.80,   2.46E-007, 
  1.90,   2.95E-007, 
  2.00,   3.19E-007, 
  2.10,   3.14E-007, 
  2.20,   2.96E-007, 
  2.30,   2.00E-007, 
  2.40,   5.69E-008, 
  2.50,   1.74E-008, 
  2.60,   8.57E-009, 
  2.70,   4.94E-009, 
  2.80,   3.35E-009, 
  2.90,   2.07E-009, 
  3.00,   1.55E-009, 
  3.10,   1.31E-009, 
  3.20,   9.10E-010, 
  3.30,   5.33E-010, 
  3.40,   5.06E-010, 
  3.50,   1.61E-010, 
  3.60,  -2.41E-011, 
  3.70,   1.93E-010, 
  3.80,   1.02E-010, 
  3.90,  -1.70E-010, 
  4.00,   0.00E+000, 
  4.10,  -1.11E-010, 
  4.20,  -7.35E-011, 
  4.30,  -3.13E-011, 
  4.40,  -2.23E-010, 
  4.50,  -2.14E-010, 
  4.60,  -1.49E-010, 
  4.70,  -3.87E-010, 
  4.80,  -3.90E-010, 
  4.90,  -4.05E-010, 
  5.00,  -5.07E-010, 
  5.10,  -3.61E-010, 
  5.20,  -2.73E-010, 
  5.30,  -4.25E-010, 
  5.40,  -4.93E-010, 
  5.50,  -4.53E-010, 
  5.60,  -5.42E-010, 
  5.70,  -5.29E-010, 
  5.80,  -5.75E-010, 
  5.90,  -6.52E-010, 
  6.00,  -5.70E-010, 
  6.10,  -4.96E-010, 
  6.20,  -6.13E-010, 
  6.30,  -7.19E-010, 
  6.40,  -7.69E-010, 
  6.50,  -8.40E-010, 
