Jul 18, 2019  11:56:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 18, 2019  11:56:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   2.3536E-007,   5.6723E-009,   1.1375E-007,   2.7128E-007,   8.5696E-006,   1.7180E-006,   7.6475E-007,   3.8554E-009,   5.0048E-008,   6.5618E-008,  
10.000,   2.3430E-007,   5.5602E-009,   1.1262E-007,   2.7073E-007,   8.4105E-006,   1.7076E-006,   7.5623E-007,   3.8337E-009,   4.9808E-008,   6.4704E-008,  
20.000,   2.3139E-007,   5.6783E-009,   1.1161E-007,   2.6853E-007,   8.3681E-006,   1.7065E-006,   7.5342E-007,   3.9349E-009,   4.9695E-008,   6.3969E-008,  
30.000,   2.3161E-007,   5.4229E-009,   1.1097E-007,   2.6581E-007,   8.2946E-006,   1.7107E-006,   7.4730E-007,   3.9747E-009,   4.9343E-008,   6.4052E-008,  
40.000,   2.3010E-007,   5.6253E-009,   1.1094E-007,   2.6680E-007,   8.2927E-006,   1.6868E-006,   7.4384E-007,   3.9470E-009,   4.8760E-008,   6.3436E-008,  
50.000,   2.2750E-007,   5.3169E-009,   1.1254E-007,   2.6631E-007,   8.2716E-006,   1.7039E-006,   7.3995E-007,   3.9181E-009,   4.9065E-008,   6.3936E-008,  
60.000,   2.2487E-007,   5.2506E-009,   1.1088E-007,   2.6375E-007,   8.1920E-006,   1.7005E-006,   7.4459E-007,   3.9639E-009,   4.8719E-008,   6.3228E-008,  
70.000,   2.2537E-007,   5.6036E-009,   1.1047E-007,   2.6128E-007,   8.1388E-006,   1.6859E-006,   7.3122E-007,   3.8506E-009,   4.8755E-008,   6.2054E-008,  
80.000,   2.2129E-007,   5.5084E-009,   1.1126E-007,   2.6097E-007,   8.0729E-006,   1.6885E-006,   7.3814E-007,   3.7663E-009,   4.8360E-008,   6.2605E-008,  
90.000,   2.2116E-007,   5.4699E-009,   1.1034E-007,   2.5960E-007,   8.0282E-006,   1.7015E-006,   7.3265E-007,   3.8000E-009,   4.8493E-008,   6.1687E-008,  
100.000,   2.1827E-007,   5.3940E-009,   1.0975E-007,   2.5800E-007,   7.9622E-006,   1.6775E-006,   7.3634E-007,   3.8036E-009,   4.8330E-008,   6.1966E-008,  
110.000,   2.1846E-007,   5.5036E-009,   1.1028E-007,   2.5738E-007,   8.0310E-006,   1.6805E-006,   7.3097E-007,   3.8614E-009,   4.8193E-008,   6.1694E-008,  
120.000,   2.1711E-007,   5.4699E-009,   1.1041E-007,   2.5977E-007,   7.9752E-006,   1.6871E-006,   7.3030E-007,   4.2410E-009,   4.8825E-008,   6.1989E-008,  
130.016,   2.1736E-007,   5.6458E-009,   1.1026E-007,   2.5621E-007,   7.9158E-006,   1.6904E-006,   7.3129E-007,   3.8036E-009,   4.8170E-008,   6.0840E-008,  
140.000,   2.1429E-007,   5.5410E-009,   1.1207E-007,   2.5712E-007,   7.8963E-006,   1.6854E-006,   7.2385E-007,   4.0313E-009,   4.7975E-008,   6.1242E-008,  
150.000,   2.1664E-007,   5.6566E-009,   1.1067E-007,   2.5546E-007,   7.8385E-006,   1.6945E-006,   7.2787E-007,   3.9096E-009,   4.8393E-008,   6.0845E-008,  
160.000,   2.1251E-007,   5.7518E-009,   1.1055E-007,   2.5481E-007,   7.8156E-006,   1.6900E-006,   7.2648E-007,   3.9361E-009,   4.8039E-008,   6.1187E-008,  
170.000,   2.1328E-007,   5.6807E-009,   1.1079E-007,   2.5382E-007,   7.7799E-006,   1.6837E-006,   7.2577E-007,   3.9518E-009,   4.8060E-008,   6.0899E-008,  
180.000,   2.1279E-007,   5.7337E-009,   1.1053E-007,   2.5414E-007,   7.7656E-006,   1.6817E-006,   7.2082E-007,   3.7880E-009,   4.8193E-008,   6.1236E-008,  
190.000,   2.1052E-007,   5.7145E-009,   1.1045E-007,   2.5340E-007,   7.7114E-006,   1.6858E-006,   7.1879E-007,   3.8506E-009,   4.7817E-008,   6.0163E-008,  
200.000,   2.0933E-007,   5.6084E-009,   1.0988E-007,   2.5072E-007,   7.6390E-006,   1.6775E-006,   7.2133E-007,   3.8289E-009,   4.7758E-008,   5.9722E-008,  
210.000,   2.0774E-007,   5.6241E-009,   1.0965E-007,   2.5058E-007,   7.6603E-006,   1.6849E-006,   7.1864E-007,   3.8518E-009,   4.7233E-008,   5.9933E-008,  
220.000,   2.0846E-007,   5.4386E-009,   1.0921E-007,   2.4832E-007,   7.5871E-006,   1.6856E-006,   7.1782E-007,   3.9398E-009,   4.7720E-008,   6.0422E-008,  
230.000,   2.0969E-007,   5.3289E-009,   1.1057E-007,   2.4986E-007,   7.5626E-006,   1.6791E-006,   7.1384E-007,   4.1410E-009,   4.7417E-008,   6.0155E-008,  
240.000,   2.0772E-007,   5.5084E-009,   1.0993E-007,   2.4980E-007,   7.5606E-006,   1.6771E-006,   7.1697E-007,   3.9723E-009,   4.8498E-008,   5.9870E-008,  
250.016,   2.0621E-007,   5.4759E-009,   1.0968E-007,   2.5080E-007,   7.4939E-006,   1.6729E-006,   7.1657E-007,   3.9783E-009,   4.7542E-008,   5.9110E-008,  
260.000,   2.0466E-007,   5.6494E-009,   1.0952E-007,   2.4937E-007,   7.4448E-006,   1.6769E-006,   7.1182E-007,   4.1446E-009,   4.6718E-008,   5.9199E-008,  
270.000,   2.0478E-007,   5.7169E-009,   1.1017E-007,   2.4695E-007,   7.4463E-006,   1.6817E-006,   7.1402E-007,   3.9217E-009,   4.7625E-008,   5.8794E-008,  
280.000,   2.0380E-007,   5.7651E-009,   1.0985E-007,   2.4837E-007,   7.4285E-006,   1.6774E-006,   7.1466E-007,   3.9096E-009,   4.7398E-008,   5.8957E-008,  
290.016,   2.0259E-007,   5.5952E-009,   1.0997E-007,   2.4615E-007,   7.3171E-006,   1.6795E-006,   7.1177E-007,   3.8289E-009,   4.7596E-008,   5.8631E-008,  
300.000,   2.0018E-007,   5.8120E-009,   1.1050E-007,   2.4613E-007,   7.2954E-006,   1.6786E-006,   7.0885E-007,   3.8036E-009,   4.6972E-008,   5.8087E-008,  
310.000,   1.9974E-007,   5.2988E-009,   1.0961E-007,   2.4477E-007,   7.3186E-006,   1.6864E-006,   7.1388E-007,   4.0060E-009,   4.7337E-008,   5.8002E-008,  
320.000,   2.0175E-007,   5.4217E-009,   1.0981E-007,   2.4393E-007,   7.3020E-006,   1.6796E-006,   7.0732E-007,   3.9241E-009,   4.7814E-008,   5.8472E-008,  
330.000,   2.0100E-007,   5.2205E-009,   1.1000E-007,   2.4405E-007,   7.2457E-006,   1.6815E-006,   7.0277E-007,   4.1120E-009,   4.7163E-008,   5.8247E-008,  
340.000,   1.9867E-007,   5.3181E-009,   1.0938E-007,   2.4331E-007,   7.2392E-006,   1.7218E-006,   7.1060E-007,   3.9795E-009,   4.7171E-008,   5.7852E-008,  
350.000,   1.9734E-007,   5.6048E-009,   1.0911E-007,   2.3982E-007,   7.2073E-006,   1.6644E-006,   7.0052E-007,   3.9277E-009,   4.7599E-008,   5.7772E-008,  
360.000,   1.9787E-007,   5.6687E-009,   1.0931E-007,   2.3911E-007,   7.1029E-006,   1.6638E-006,   7.0346E-007,   3.9518E-009,   4.7381E-008,   5.7701E-008,  
370.000,   1.9577E-007,   5.5325E-009,   1.0897E-007,   2.3896E-007,   7.1057E-006,   1.6721E-006,   6.9977E-007,   3.9277E-009,   4.7214E-008,   5.7160E-008,  
