Jul 18, 2019  08:10:38 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -4.82E-010, 
  1.10,  -2.53E-010, 
  1.20,   1.17E-008, 
  1.30,   8.34E-008, 
  1.40,   3.63E-008, 
  1.50,   1.92E-008, 
  1.60,   2.75E-008, 
  1.70,   4.66E-008, 
  1.80,   6.92E-008, 
  1.90,   8.95E-008, 
  2.00,   9.44E-008, 
  2.10,   9.43E-008, 
  2.20,   8.16E-008, 
  2.30,   5.72E-008, 
  2.40,   2.39E-008, 
  2.50,   9.81E-009, 
  2.60,   4.97E-009, 
  2.70,   2.89E-009, 
  2.80,   1.63E-009, 
  2.90,   8.51E-010, 
  3.00,   4.37E-010, 
  3.10,   2.57E-010, 
  3.20,   1.80E-010, 
  3.30,   3.73E-011, 
  3.40,  -1.04E-010, 
  3.50,  -1.16E-010, 
  3.60,  -1.59E-010, 
  3.70,  -2.14E-010, 
  3.80,  -1.65E-010, 
  3.90,  -1.98E-010, 
  4.00,  -4.23E-010, 
  4.10,  -2.17E-010, 
  4.20,  -2.02E-010, 
  4.30,  -4.43E-010, 
  4.40,  -4.34E-010, 
  4.50,  -5.43E-010, 
  4.60,  -6.88E-010, 
  4.70,  -6.23E-010, 
  4.80,  -3.92E-010, 
  4.90,  -4.36E-010, 
  5.00,  -5.06E-010, 
  5.10,  -4.78E-010, 
  5.20,  -6.20E-010, 
  5.30,  -5.59E-010, 
  5.40,  -4.73E-010, 
  5.50,  -5.11E-010, 
  5.60,  -4.53E-010, 
  5.70,  -3.96E-010, 
  5.80,  -5.40E-010, 
  5.90,  -7.19E-010, 
  6.00,  -5.47E-010, 
  6.10,  -7.35E-010, 
  6.20,  -5.65E-010, 
  6.30,  -6.57E-010, 
  6.40,  -6.78E-010, 
  6.50,  -5.31E-010, 
