Jul 19, 2019  06:00:16 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,   3.37E-011, 
  1.10,   3.29E-009, 
  1.20,   4.98E-007, 
  1.30,   9.07E-007, 
  1.40,   1.34E-007, 
  1.50,   3.17E-007, 
  1.60,   5.81E-007, 
  1.70,   7.19E-007, 
  1.80,   8.90E-007, 
  1.90,   9.65E-007, 
  2.00,   9.72E-007, 
  2.10,   9.28E-007, 
  2.20,   8.19E-007, 
  2.30,   5.11E-007, 
  2.40,   8.47E-008, 
  2.50,   2.04E-008, 
  2.60,   9.77E-009, 
  2.70,   5.77E-009, 
  2.80,   3.99E-009, 
  2.90,   2.92E-009, 
  3.00,   2.43E-009, 
  3.10,   2.24E-009, 
  3.20,   1.88E-009, 
  3.30,   1.56E-009, 
  3.40,   1.20E-009, 
  3.50,   8.84E-010, 
  3.60,   7.34E-010, 
  3.70,   4.45E-010, 
  3.80,   1.86E-010, 
  3.90,  -5.66E-011, 
  4.00,   9.88E-011, 
  4.10,   3.01E-011, 
  4.20,  -2.77E-011, 
  4.30,  -1.11E-010, 
  4.40,  -2.06E-010, 
  4.50,  -4.37E-010, 
  4.60,  -4.06E-010, 
  4.70,  -3.98E-010, 
  4.80,  -5.33E-010, 
  4.90,  -3.95E-010, 
  5.00,  -2.29E-010, 
  5.10,  -3.80E-010, 
  5.20,  -3.07E-010, 
  5.30,  -4.17E-010, 
  5.40,  -4.28E-010, 
  5.50,  -2.45E-010, 
  5.60,  -2.99E-010, 
  5.70,  -4.55E-010, 
  5.80,  -3.90E-010, 
  5.90,  -3.69E-010, 
  6.00,  -4.10E-010, 
  6.10,  -5.08E-010, 
  6.20,  -6.81E-010, 
  6.30,  -7.64E-010, 
  6.40,  -6.73E-010, 
  6.50,  -7.07E-010, 
