Jul 14, 2019  10:05:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps


  1.00,  -7.53E-010, 
  1.10,   1.43E-010, 
  1.20,   1.44E-007, 
  1.30,   4.73E-007, 
  1.40,   7.96E-008, 
  1.50,   5.75E-008, 
  1.60,   1.41E-007, 
  1.70,   2.18E-007, 
  1.80,   2.86E-007, 
  1.90,   3.42E-007, 
  2.00,   3.55E-007, 
  2.10,   3.52E-007, 
  2.20,   3.14E-007, 
  2.30,   1.95E-007, 
  2.40,   4.69E-008, 
  2.50,   1.59E-008, 
  2.60,   7.95E-009, 
  2.70,   4.64E-009, 
  2.80,   3.18E-009, 
  2.90,   2.12E-009, 
  3.00,   1.58E-009, 
  3.10,   1.25E-009, 
  3.20,   8.34E-010, 
  3.30,   5.54E-010, 
  3.40,   2.95E-010, 
  3.50,   3.01E-011, 
  3.60,   1.63E-010, 
  3.70,   1.57E-011, 
  3.80,  -3.05E-010, 
  3.90,  -3.76E-010, 
  4.00,  -2.46E-010, 
  4.10,  -3.37E-010, 
  4.20,  -4.28E-010, 
  4.30,  -3.27E-010, 
  4.40,  -5.07E-010, 
  4.50,  -4.10E-010, 
  4.60,  -4.00E-010, 
  4.70,  -5.77E-010, 
  4.80,  -5.93E-010, 
  4.90,  -5.55E-010, 
  5.00,  -7.80E-010, 
  5.10,  -6.46E-010, 
  5.20,  -6.39E-010, 
  5.30,  -9.88E-010, 
  5.40,  -8.61E-010, 
  5.50,  -8.14E-010, 
  5.60,  -8.69E-010, 
  5.70,  -7.94E-010, 
  5.80,  -6.05E-010, 
  5.90,  -8.49E-010, 
  6.00,  -7.59E-010, 
  6.10,  -6.77E-010, 
  6.20,  -7.41E-010, 
  6.30,  -7.40E-010, 
  6.40,  -5.81E-010, 
  6.50,  -7.13E-010, 
